id,name,now_cost,position,team,goals_scored,bonus,form,in_dreamteam,expected_assists_per_90,cost_change_start_fall,red_cards,penalties_saved,points_per_game_rank_type,yellow_cards,starts,ep_this,direct_freekicks_order,news,news_added,expected_goal_involvements_per_90,ict_index_rank,value_season,cost_change_start,dreamteam_count,transfers_in_event,threat,creativity,minutes,creativity_rank_type,expected_goals,selected_rank_type,selected_by_percent,transfers_out_event,cost_change_event_fall,goals_conceded_per_90,expected_goal_involvements,chance_of_playing_next_round,points_per_game,creativity_rank,expected_assists,total_points,influence_rank_type,saves,threat_rank,ep_next,own_goals,now_cost_rank_type,points_per_game_rank,clean_sheets,chance_of_playing_this_round,goals_conceded,transfers_out,expected_goals_per_90,form_rank_type,expected_goals_conceded_per_90,threat_rank_type,saves_per_90,now_cost_rank,web_name,assists,cost_change_event,event_points,starts_per_90,bps,ict_index,clean_sheets_per_90,form_rank,corners_and_indirect_freekicks_order,penalties_order,ict_index_rank_type,transfers_in,status,penalties_missed,selected_rank,influence,expected_goals_conceded,value_form,influence_rank
443,Cristian Romero,49,DEF,Spurs,0,2,1.8,False,0.03,1,1,0,77,5,13,0.0,,,2023-02-05T22:00:09.818544Z,0.09,258,6.9,-1,1,1041,55.0,55.8,1193,83,0.72,55,1.2,1018,0,1.28,1.17,100.0,2.4,272,0.46,34,70,0,271,2.3,0,34,224,5,0.0,17,345938,0.05,68,1.2,80,0.0,258,Romero,0,0,0,0.98,202,33.7,0.38,183,,,83,189076,a,0,162,226.4,15.91,0.4,188
444,Yves Bissouma,47,MID,Spurs,0,0,0.8,False,0.03,3,0,0,185,5,8,0.0,,Ankle injury - Unknown return date,2023-02-09T22:30:08.857394Z,0.05,295,4.9,-3,0,6,21.0,124.8,803,112,0.15,117,0.3,398,0,1.68,0.44,0.0,1.1,175,0.29,23,124,0,368,0.0,0,198,418,1,0.0,15,72760,0.02,128,1.25,180,0.0,326,Bissouma,0,0,0,0.9,140,24.7,0.11,283,,,134,31435,i,0,334,102.0,11.14,0.2,294
445,Emerson Leite de Souza Junior,49,DEF,Spurs,1,4,5.8,False,0.05,1,1,0,56,1,14,6.3,,,2022-10-01T15:00:06.865491Z,0.14,158,10.6,-1,1,1920,173.0,123.8,1192,41,1.16,48,1.8,1462,0,1.51,1.88,100.0,2.9,177,0.71,52,60,0,139,6.3,0,35,176,4,100.0,20,748341,0.09,6,1.26,15,0.0,261,Emerson Royal,2,0,1,1.06,254,54.6,0.3,17,,,37,710383,a,0,137,249.6,16.65,1.2,166
446,Dejan Kulusevski,79,MID,Spurs,2,5,4.2,False,0.27,1,0,0,27,0,13,4.7,,,2023-01-01T14:00:06.807951Z,0.37,64,7.8,-1,1,2679,330.0,331.0,1132,42,1.33,24,4.1,4790,0,1.67,4.69,100.0,4.1,49,3.36,62,65,0,60,4.7,0,10,60,4,100.0,21,2454484,0.11,21,1.35,38,0.0,22,Kulusevski,5,0,2,1.03,194,93.1,0.32,53,3.0,,46,1989062,a,0,77,269.4,16.98,0.5,151
447,Dane Scarlett,45,FWD,Spurs,0,0,0.0,False,0.0,0,0,0,81,0,0,0.0,,Joined Portsmouth on loan - Expected back 01 Jul,2022-07-28T16:30:04.667999Z,0.0,685,0.0,0,0,0,0.0,0.0,0,80,0.00,74,0.0,17,0,0.0,0.00,0.0,0.0,679,0.00,0,79,0,661,0.0,0,80,690,0,0.0,0,7259,0.0,71,0.0,80,0.0,429,Scarlett,0,0,0,0.0,0,0.0,0.0,626,,,80,0,u,0,562,0.0,0.00,0.0,682
448,Ivan Perišić,55,DEF,Spurs,0,6,3.2,False,0.24,0,0,0,43,3,16,3.7,,,,0.34,47,12.9,0,2,10009,232.0,512.9,1413,4,1.50,5,19.4,23390,0,1.46,5.29,,3.1,14,3.79,71,41,0,97,3.7,0,11,151,6,,23,3765401,0.1,28,1.28,8,0.0,104,Perišić,5,0,1,1.02,291,104.1,0.38,84,2.0,,3,3461806,a,0,19,298.2,20.04,0.6,126
449,Harvey White,44,MID,Spurs,0,0,0.0,False,0.9,1,0,0,202,0,0,0.0,,Season-long loan to Derby County,2023-01-31T23:18:28.916203Z,0.9,480,0.2,-1,0,0,0.0,7.3,4,206,0.00,96,0.4,417,0,0.0,0.04,0.0,1.0,419,0.04,1,224,0,601,0.0,0,281,461,0,0.0,0,67054,0.0,209,0.0,240,0.0,521,White,0,0,0,0.0,4,0.9,0.0,562,,,220,54478,u,0,282,2.0,0.00,0.0,489
450,Pape Matar Sarr,42,MID,Spurs,0,0,0.2,False,0.01,3,0,0,191,1,1,0.7,,,2023-02-01T09:30:08.676911Z,0.03,435,1.0,-3,0,176,3.0,14.8,134,198,0.03,79,0.5,384,0,2.01,0.05,100.0,1.0,390,0.02,4,186,0,432,0.7,0,317,443,0,100.0,3,105306,0.02,174,1.58,211,0.0,619,Sarr,0,0,1,0.67,23,4.2,0.0,377,,,201,86765,a,0,247,23.0,2.35,0.0,418
451,Brandon Austin,39,GKP,Spurs,0,0,0.0,False,0.0,1,0,0,40,0,0,0.5,,,,0.0,532,0.0,-1,0,137,0.0,0.0,0,24,0.00,43,0.3,198,0,0.0,0.00,,0.0,517,0.00,0,40,0,468,0.5,0,69,544,0,,0,21394,0.0,34,0.0,14,0.0,722,Austin,0,0,0,0.0,0,0.0,0.0,411,,,40,14899,a,0,314,0.0,0.00,0.0,530
452,Alfie Devine,43,MID,Spurs,0,0,0.0,False,0.0,2,0,0,249,0,0,0.5,,,,0.0,619,0.0,-2,0,31,0.0,0.0,0,245,0.00,165,0.1,59,0,0.0,0.00,,0.0,608,0.00,0,241,0,581,0.5,0,306,626,0,,0,12389,0.0,194,0.0,230,0.0,584,Devine,0,0,0,0.0,0,0.0,0.0,536,,,244,7966,a,0,453,0.0,0.00,0.0,614
453,Troy Parrott,45,FWD,Spurs,0,0,0.0,False,0.0,0,0,0,74,0,0,0.0,,Joined Preston North End on loan - Expected back 01 Jul,2022-07-25T23:00:04.503977Z,0.0,664,0.0,0,0,0,0.0,0.0,0,73,0.00,68,0.1,15,0,0.0,0.00,0.0,0.0,659,0.00,0,71,0,639,0.0,0,71,670,0,0.0,0,10413,0.0,62,0.0,72,0.0,402,Parrott,0,0,0,0.0,0,0.0,0.0,603,,,72,0,u,0,497,0.0,0.00,0.0,661
454,Richarlison de Andrade,84,FWD,Spurs,0,1,0.8,False,0.2,1,0,0,44,2,5,1.3,,,2023-01-29T00:30:07.727091Z,0.52,211,3.0,-1,0,615,206.0,128.0,494,24,1.75,39,0.7,887,0,2.0,2.84,100.0,1.8,173,1.10,25,35,0,113,1.3,0,8,333,0,100.0,11,221480,0.32,39,1.55,34,0.0,13,Richarlison,3,0,1,0.91,66,42.7,0.0,289,,,32,190344,a,0,209,92.8,8.52,0.1,306
