id,name,now_cost,position,team,goals_scored,bonus,form,in_dreamteam,expected_assists_per_90,cost_change_start_fall,red_cards,penalties_saved,points_per_game_rank_type,yellow_cards,starts,ep_this,direct_freekicks_order,news,news_added,expected_goal_involvements_per_90,ict_index_rank,value_season,cost_change_start,dreamteam_count,transfers_in_event,threat,creativity,minutes,creativity_rank_type,expected_goals,selected_rank_type,selected_by_percent,transfers_out_event,cost_change_event_fall,goals_conceded_per_90,expected_goal_involvements,chance_of_playing_next_round,points_per_game,creativity_rank,expected_assists,total_points,influence_rank_type,saves,threat_rank,ep_next,own_goals,now_cost_rank_type,points_per_game_rank,clean_sheets,chance_of_playing_this_round,goals_conceded,transfers_out,expected_goals_per_90,form_rank_type,expected_goals_conceded_per_90,threat_rank_type,saves_per_90,now_cost_rank,web_name,assists,cost_change_event,event_points,starts_per_90,bps,ict_index,clean_sheets_per_90,form_rank,corners_and_indirect_freekicks_order,penalties_order,ict_index_rank_type,transfers_in,status,penalties_missed,selected_rank,influence,expected_goals_conceded,value_form,influence_rank
123,Deniz Undav,51,FWD,Brighton,0,0,1.0,False,0.28,4,0,0,58,0,2,1.0,,,,1.0,298,2.2,-4,0,163,155.0,67.1,224,38,1.78,55,0.2,270,0,0.0,2.49,,1.1,247,0.70,11,52,0,156,1.0,0,57,421,1,,0,89156,0.72,30,0.46,40,0.0,196,Undav,0,0,1,0.8,17,24.2,0.4,267,,,43,33065,a,0,336,21.6,1.14,0.2,423
124,Kaoru Mitoma,53,MID,Brighton,5,7,7.7,False,0.26,-3,0,0,22,0,9,7.7,,,2022-10-15T09:30:07.136345Z,0.48,72,13.0,3,1,54474,379.0,198.7,924,80,2.25,10,13.4,15124,0,1.17,4.94,100.0,4.3,114,2.69,69,48,0,47,7.7,0,92,46,3,100.0,12,109134,0.22,1,1.36,29,0.0,164,Mitoma,3,0,2,0.88,251,88.7,0.29,4,,,53,1574319,a,0,28,308.6,13.93,1.5,111
125,Julio Enciso,47,FWD,Brighton,0,0,0.3,False,0.04,3,0,0,51,1,0,0.3,,,,0.41,367,1.5,-3,0,207,93.0,12.6,126,58,0.52,50,0.3,416,0,2.14,0.57,,1.4,402,0.05,7,53,0,211,0.3,0,64,383,0,,3,64679,0.37,44,2.3,48,0.0,329,Enciso,1,0,0,0.0,11,12.2,0.0,347,,,52,41559,a,0,315,18.6,3.22,0.1,433
126,Kacper Kozłowski,45,MID,Brighton,0,0,0.0,False,0.0,0,0,0,283,0,0,0.0,,Season-long loan to Vitesse Arnhem,2022-08-26T07:25:55.973718Z,0.0,682,0.0,0,0,0,0.0,0.0,0,280,0.00,239,0.0,5,0,0.0,0.00,0.0,0.0,677,0.00,0,277,0,658,0.0,0,234,688,0,0.0,0,7572,0.0,242,0.0,270,0.0,426,Kozłowski,0,0,0,0.0,0,0.0,0.0,623,,,279,1670,u,0,594,0.0,0.00,0.0,679
149,Billy Gilmour,42,MID,Brighton,0,0,0.3,False,0.2,3,0,0,189,1,2,0.3,,,,0.32,433,1.7,-3,0,117,11.0,19.9,160,188,0.20,95,0.4,250,0,2.25,0.56,,1.0,375,0.36,7,199,0,392,0.3,0,313,439,0,,4,98251,0.11,146,1.87,195,0.0,612,Gilmour,0,0,0,1.12,27,4.5,0.0,330,,,199,68495,a,0,279,14.0,3.33,0.1,441
542,Kjell Scherpen,40,GKP,Brighton,0,0,0.0,False,0.0,0,0,0,59,0,0,0.0,,Season-long loan to Vitesse Arnhem,2022-08-17T10:33:33.723103Z,0.0,566,0.0,0,0,0,0.0,0.0,0,45,0.00,59,0.0,12,0,0.0,0.00,0.0,0.0,553,0.00,0,59,0,506,0.0,0,47,579,0,0.0,0,6937,0.0,54,0.0,35,0.0,660,Scherpen,0,0,0,0.0,0,0.0,0.0,450,,,59,1447,u,0,526,0.0,0.00,0.0,564
543,Matt Clarke,40,DEF,Brighton,0,0,0.0,False,0.0,0,0,0,201,0,0,0.0,,Transferred to Middlesbrough,2022-08-26T07:23:35.673658Z,0.0,555,0.0,0,0,0,0.0,0.0,0,196,0.00,167,0.1,23,0,0.0,0.00,0.0,0.0,542,0.00,0,200,0,494,0.0,0,192,567,0,0.0,0,25503,0.0,155,0.0,181,0.0,648,Clarke,0,0,0,0.0,0,0.0,0.0,438,,,197,10007,u,0,442,0.0,0.00,0.0,553
544,Jan Paul van Hecke,40,DEF,Brighton,0,0,0.3,False,0.02,0,0,0,153,0,1,0.3,,,2022-10-17T12:00:07.501829Z,0.65,454,0.5,0,0,75,10.0,3.6,79,154,0.55,114,0.3,175,0,2.28,0.57,100.0,1.0,434,0.02,2,161,0,394,0.3,0,210,427,0,100.0,2,34070,0.63,117,1.41,140,0.0,679,Van Hecke,0,0,0,1.14,14,2.7,0.0,325,,,160,29341,a,0,318,13.2,1.24,0.1,442
559,Levi Colwill,44,DEF,Brighton,0,2,0.0,False,0.03,1,0,0,100,0,5,0.0,,Muscle injury - Expected back 04 Mar,2023-01-20T10:00:07.886428Z,0.06,373,3.4,-1,0,12,4.0,31.6,462,115,0.18,170,0.1,438,0,1.56,0.33,0.0,2.1,337,0.15,15,131,0,427,0.0,0,129,273,1,0.0,8,17928,0.04,224,1.77,154,0.0,524,Colwill,0,0,0,0.97,93,11.5,0.19,564,,,133,18050,i,0,449,78.4,9.08,0.0,319
586,Pervis Estupiñán,46,DEF,Brighton,0,7,7.3,False,0.14,-1,0,0,39,3,15,7.3,,,,0.16,104,12.2,1,1,42413,111.0,323.4,1259,7,0.25,34,3.7,2376,0,1.57,2.24,,3.1,51,1.98,56,45,0,195,7.3,0,60,145,3,,22,216770,0.02,1,1.41,36,0.0,340,Estupiñán,5,0,7,1.07,264,71.8,0.21,7,,,16,607233,a,0,86,283.0,19.68,1.6,138
596,Evan Ferguson,46,FWD,Brighton,3,4,2.3,False,0.12,-1,0,0,6,1,2,2.3,,,2023-01-30T00:30:08.901246Z,0.6,285,6.3,1,1,3934,95.0,40.0,229,48,1.21,19,2.0,8499,0,0.79,1.52,100.0,4.8,308,0.31,29,30,0,210,2.3,0,65,26,2,100.0,2,158968,0.48,15,1.0,47,0.0,343,Ferguson,2,0,1,0.79,108,27.1,0.79,129,,,42,356528,a,0,126,134.8,2.55,0.5,265
640,Ed Turns,40,DEF,Brighton,0,0,0.0,False,0.0,0,0,0,215,0,0,0.0,,Season-long loan to Leyton Orient,2023-01-14T20:36:50.944645Z,0.0,577,0.0,0,0,0,0.0,0.0,0,209,0.00,211,0.0,36,0,0.0,0.00,0.0,0.0,564,0.00,0,213,0,518,0.0,0,207,590,0,0.0,0,3330,0.0,170,0.0,196,0.0,672,Turns,0,0,0,0.0,0,0.0,0.0,462,,,210,3677,u,0,584,0.0,0.00,0.0,575
651,Andrew Moran,45,MID,Brighton,0,0,0.0,False,0.0,0,0,0,210,0,0,0.0,,,,0.0,693,0.2,0,0,19,0.0,0.0,11,286,0.00,277,0.0,18,0,8.18,0.00,,1.0,687,0.00,1,284,0,670,0.0,0,244,474,0,,1,616,0.0,251,6.71,277,0.0,442,Moran,0,0,0,0.0,3,0.0,0.0,638,,,285,957,a,0,680,0.0,0.82,0.0,691
652,James Furlong,40,DEF,Brighton,0,0,0.0,False,0.0,0,0,0,211,0,0,0.0,,Season-long loan to Motherwell,2023-02-01T11:15:15.307002Z,0.0,571,0.0,0,0,0,0.0,0.0,0,205,0.00,223,0.0,66,0,0.0,0.00,0.0,0.0,558,0.00,0,209,0,512,0.0,0,203,584,0,0.0,0,1619,0.0,166,0.0,192,0.0,666,Furlong,0,0,0,0.0,0,0.0,0.0,456,,,206,2100,u,0,617,0.0,0.00,0.0,569
677,Jack Hinshelwood,45,MID,Brighton,0,0,0.0,False,0.0,0,0,0,295,0,0,0.0,,,,0.0,702,0.0,0,0,7,0.0,0.0,0,293,0.00,315,0.0,10,0,0.0,0.00,,0.0,696,0.00,0,292,0,680,0.0,0,253,706,0,,0,65,0.0,258,0.0,285,0.0,453,Hinshelwood,0,0,0,0.0,0,0.0,0.0,647,,,292,123,a,0,734,0.0,0.00,0.0,701
679,Facundo Buonanotte,45,MID,Brighton,0,0,0.3,False,0.06,0,0,0,212,0,0,0.3,,,2023-01-27T16:00:09.112227Z,0.06,472,0.2,0,0,12,0.0,11.0,15,203,0.00,306,0.0,6,0,0.0,0.01,100.0,1.0,409,0.01,1,228,0,682,0.3,0,255,476,0,100.0,0,137,0.0,152,4.02,287,0.0,455,Buonanotte,0,0,0,0.0,2,1.2,0.0,343,,,216,255,a,0,724,1.2,0.67,0.1,497
719,Yasin Ayari,45,MID,Brighton,0,0,0.0,False,0.0,0,0,0,287,0,0,0.0,,,,0.0,691,0.0,0,0,15,0.0,0.0,0,284,0.00,307,0.0,9,0,0.0,0.00,,0.0,685,0.00,0,282,0,668,0.0,0,241,696,0,,0,34,0.0,249,0.0,275,0.0,439,Ayari,0,0,0,0.0,0,0.0,0.0,636,,,283,201,a,0,725,0.0,0.00,0.0,689
736,Odeluga Offiah,40,DEF,Brighton,0,0,0.0,False,0.0,0,0,0,214,0,0,0.0,,,,0.0,574,0.0,0,0,36,0.0,0.0,0,208,0.00,248,0.0,18,0,0.0,0.00,,0.0,561,0.00,0,212,0,515,0.0,0,206,587,0,,0,29,0.0,169,0.0,195,0.0,669,Offiah,0,0,0,0.0,0,0.0,0.0,459,,,209,119,a,0,711,0.0,0.00,0.0,572
48,Carney Chukwuemeka,43,MID,Chelsea,0,0,0.3,False,0.06,2,0,0,161,0,1,0.8,,,2022-11-04T15:00:07.807107Z,0.18,352,2.6,-2,1,80,64.0,49.3,195,151,0.28,98,0.4,305,0,0.92,0.40,100.0,1.4,282,0.13,11,165,0,256,0.8,0,304,378,1,100.0,2,108271,0.13,148,1.47,135,0.0,582,Chukwuemeka,0,0,0,0.46,35,15.2,0.46,336,,,154,72472,a,0,288,38.0,3.18,0.1,388
112,Marc Cucurella Saseta,51,DEF,Chelsea,0,1,4.7,False,0.05,-1,0,0,61,2,17,5.2,,,2022-09-30T14:00:06.792994Z,0.07,160,11.0,1,0,3610,67.0,190.8,1343,23,0.36,16,8.1,9639,0,1.07,1.07,100.0,2.8,118,0.69,56,43,0,252,5.2,0,22,186,5,100.0,16,2302589,0.02,14,1.47,69,0.0,185,Cucurella,2,0,2,1.14,295,54.3,0.34,42,,,39,2242383,a,0,45,285.0,22.00,0.9,136
127,César Azpilicueta,48,DEF,Chelsea,0,4,0.7,False,0.07,2,0,0,102,3,10,1.2,,,,0.09,210,7.9,-2,1,252,72.0,154.2,1018,32,0.19,51,1.5,2204,0,0.88,0.99,,2.1,140,0.80,38,78,0,239,1.2,0,37,276,3,,10,309385,0.02,107,1.36,59,0.0,267,Azpilicueta,0,0,0,0.88,188,43.5,0.27,302,,,61,253961,a,0,149,206.6,15.35,0.1,205
128,Thiago Emiliano da Silva,55,DEF,Chelsea,0,8,4.7,False,0.03,0,0,0,22,1,19,5.2,,,2022-10-16T22:30:07.046029Z,0.08,107,12.9,0,0,20410,108.0,66.1,1793,73,1.03,14,9.3,8835,0,1.1,1.60,100.0,3.5,249,0.58,71,3,0,197,5.2,0,12,102,6,100.0,22,848765,0.05,15,1.3,38,0.0,106,Thiago Silva,2,0,2,0.95,420,70.9,0.3,44,,,17,1069974,a,0,41,535.0,25.99,0.9,17
129,Marcos Alonso,53,DEF,Chelsea,0,0,0.0,False,0.0,2,0,0,253,0,0,0.0,,Left by mutual consent,2022-09-02T10:46:49.198371Z,0.0,733,0.0,-2,0,0,0.0,0.0,0,253,0.00,78,0.7,78,0,0.0,0.00,0.0,0.0,730,0.00,0,253,0,728,0.0,0,15,734,0,0.0,0,251286,0.0,249,0.0,253,0.0,148,Alonso,0,0,0,0.0,0,0.0,0.0,711,,,253,8779,u,0,217,0.0,0.00,0.0,732
131,Ross Barkley,49,MID,Chelsea,0,0,0.0,False,0.0,1,0,0,309,0,0,0.0,,Left by mutual consent,2022-09-02T11:08:19.103069Z,0.0,721,0.0,-1,0,0,0.0,0.0,0,308,0.00,229,0.0,5,0,0.0,0.00,0.0,0.0,716,0.00,0,307,0,707,0.0,0,139,723,0,0.0,0,6922,0.0,284,0.0,303,0.0,241,Barkley,0,0,0,0.0,0,0.0,0.0,685,,,307,1910,u,0,575,0.0,0.00,0.0,720
132,Mateo Kovacic,49,MID,Chelsea,0,0,0.0,False,0.12,1,0,0,143,3,7,0.0,,,2023-02-02T15:30:08.590776Z,0.17,255,5.1,-1,0,19,55.0,166.7,828,88,0.44,113,0.3,364,0,1.3,1.53,100.0,1.7,131,1.09,25,114,0,270,0.5,0,141,343,2,0.0,12,107208,0.05,285,1.46,141,0.0,243,Kovacic,1,0,0,0.76,137,35.0,0.22,686,,,119,48471,a,0,322,127.0,13.46,0.0,275
133,Kepa Arrizabalaga,46,GKP,Chelsea,0,13,7.0,False,0.0,-1,0,0,2,0,14,7.5,,,2022-10-29T17:30:06.932408Z,0.0,247,16.3,1,2,21190,0.0,0.1,1215,9,0.00,9,8.5,5736,0,0.74,0.00,100.0,5.4,491,0.00,75,18,46,692,7.5,0,14,14,7,100.0,10,595503,0.0,2,1.17,64,3.41,336,Arrizabalaga,0,0,2,1.04,311,36.3,0.52,9,,,18,1472753,a,0,44,361.8,15.74,1.5,77
134,N'Golo Kanté,48,MID,Chelsea,0,0,0.0,False,0.14,2,0,0,86,0,2,0.0,,Hamstring injury - Expected back 18 Feb,2022-08-14T23:30:06.470224Z,0.19,379,1.0,-2,0,39,23.0,48.7,174,153,0.10,56,1.0,220,0,0.52,0.37,0.0,2.5,287,0.27,5,168,0,361,0.0,0,165,207,1,0.0,1,396377,0.05,275,0.65,176,0.0,279,Kanté,0,0,0,1.03,32,10.8,0.52,672,,,167,86948,i,0,175,36.4,1.25,0.0,391
135,Hakim Ziyech,55,MID,Chelsea,0,0,1.7,False,0.21,5,0,0,139,0,5,2.2,4.0,,2022-12-23T18:30:08.157184Z,0.31,245,3.8,-5,0,745,86.0,176.4,504,87,0.55,89,0.4,1163,0,0.89,1.75,100.0,1.8,128,1.20,21,122,0,219,2.2,0,59,331,2,100.0,5,84946,0.1,88,1.14,123,0.0,113,Ziyech,1,0,1,0.89,85,36.8,0.36,200,1.0,4.0,113,55833,a,0,271,105.8,6.37,0.3,288
136,Ruben Loftus-Cheek,50,MID,Chelsea,0,1,1.0,False,0.11,0,0,0,130,1,13,1.5,,,2022-12-20T01:00:07.138371Z,0.18,213,5.6,0,0,65,153.0,134.0,1030,108,0.85,151,0.1,53,0,1.31,2.10,100.0,1.9,166,1.27,28,108,0,159,1.5,1,115,311,4,100.0,15,38217,0.07,120,1.56,99,0.0,203,Loftus-Cheek,0,0,3,1.14,136,42.6,0.35,263,,,106,32588,a,0,423,137.2,17.85,0.2,261
137,Timo Werner,79,FWD,Chelsea,0,0,0.0,False,0.0,1,0,0,92,0,0,0.0,,Transferred to RB Leipzig,2022-08-10T10:27:43.622232Z,0.0,745,0.0,-1,0,0,0.0,0.0,0,92,0.00,58,0.2,14,0,0.0,0.00,0.0,0.0,745,0.00,0,92,0,745,0.0,0,10,745,0,0.0,0,53331,0.0,90,0.0,92,0.0,19,Werner,0,0,0,0.0,0,0.0,0.0,742,,,92,2202,u,0,375,0.0,0.00,0.0,745
138,Robert Kenedy Nunes do Nascimento,39,DEF,Chelsea,0,0,0.0,False,0.0,1,0,0,190,0,0,0.0,,Transferred to Real Valladolid,2022-09-02T10:47:42.073387Z,0.0,529,0.0,-1,0,0,0.0,0.0,0,185,0.00,127,0.2,88,0,0.0,0.00,0.0,0.0,514,0.00,0,189,0,464,0.0,0,235,541,0,0.0,0,52507,0.0,140,0.0,168,0.0,717,Kenedy,0,0,0,0.0,0,0.0,0.0,407,,,186,27068,u,0,348,0.0,0.00,0.0,527
139,Ben Chilwell,58,DEF,Chelsea,1,0,0.7,False,0.06,2,0,0,44,1,4,1.2,,,2022-11-02T23:00:07.652951Z,0.13,304,5.9,-2,1,1674,50.0,73.6,444,70,0.31,46,1.8,727,0,0.61,0.63,100.0,3.1,241,0.32,34,115,0,281,1.2,0,8,153,2,100.0,3,808021,0.06,108,0.99,83,0.0,81,Chilwell,2,0,1,0.81,118,22.6,0.41,310,3.0,,105,557226,a,0,133,101.8,4.86,0.1,295
140,Christian Pulisic,57,MID,Chelsea,1,0,0.0,False,0.04,3,0,0,140,1,6,0.0,,Knee injury - Expected back 04 Mar,2023-01-09T01:30:07.351918Z,0.23,229,5.1,-3,0,26,169.0,139.1,600,105,1.26,87,0.4,435,0,1.2,1.51,0.0,1.8,158,0.27,29,125,0,144,0.0,0,45,332,2,0.0,8,153036,0.19,316,1.26,91,0.0,88,Pulisic,1,0,0,0.9,86,40.5,0.3,731,,,110,102716,i,0,267,100.4,8.43,0.0,298
141,Trevoh Chalobah,45,DEF,Chelsea,0,0,1.7,False,0.01,5,0,0,52,3,11,2.2,,,2022-08-31T08:30:06.535126Z,0.05,300,7.8,-5,0,142,59.0,26.9,970,119,0.41,89,0.5,1319,1,0.93,0.50,100.0,2.9,346,0.08,35,99,0,261,2.2,1,74,170,5,100.0,10,162309,0.04,71,1.49,76,0.0,366,Chalobah,0,-1,0,1.02,196,23.5,0.46,191,,,101,146625,a,0,244,148.4,16.01,0.4,254
142,Mason Mount,73,MID,Chelsea,3,8,2.3,False,0.14,7,0,0,39,3,19,2.8,3.0,,,0.25,37,10.8,-7,2,1936,371.0,454.2,1537,20,1.91,21,4.9,14330,0,1.11,4.34,,3.8,26,2.42,79,45,0,48,2.8,0,16,81,8,,19,2591644,0.11,57,1.31,30,0.0,32,Mount,4,0,1,1.11,277,115.4,0.47,141,5.0,2.0,26,2145885,a,0,68,326.0,22.39,0.3,101
143,Malang Sarr,50,DEF,Chelsea,0,0,0.0,False,0.0,0,0,0,252,0,0,0.0,,Season-long loan to Monaco,2022-08-12T14:18:58.649483Z,0.0,730,0.0,0,0,0,0.0,0.0,0,252,0.00,206,0.0,3,0,0.0,0.00,0.0,0.0,727,0.00,0,252,0,722,0.0,0,27,731,0,0.0,0,11807,0.0,248,0.0,251,0.0,213,Sarr,0,0,0,0.0,0,0.0,0.0,700,,,252,289,u,0,556,0.0,0.00,0.0,729
144,Callum Hudson-Odoi,53,MID,Chelsea,0,0,0.0,False,0.0,2,0,0,319,0,0,0.0,,Season-long loan to Bayer Leverkusen,2022-08-31T07:22:31.364700Z,0.0,737,0.0,-2,0,0,0.0,0.0,0,319,0.00,219,0.0,5,0,0.0,0.00,0.0,0.0,734,0.00,0,319,0,732,0.0,0,89,737,0,0.0,0,10351,0.0,309,0.0,318,0.0,159,Hudson-Odoi,0,0,0,0.0,0,0.0,0.0,716,,,319,1884,u,0,557,0.0,0.00,0.0,736
145,Kai Havertz,77,FWD,Chelsea,5,8,2.0,False,0.07,3,0,0,19,3,19,2.5,,,,0.43,35,8.7,-3,1,4107,600.0,274.7,1589,6,6.26,10,4.4,19348,0,1.02,7.60,,3.2,73,1.32,67,9,0,19,2.5,0,13,139,7,,18,1106976,0.35,21,1.35,9,0.0,25,Havertz,1,0,2,1.08,181,117.4,0.4,181,,3.0,10,1065007,a,0,72,302.8,23.76,0.3,119
146,Reece James,58,DEF,Chelsea,1,5,1.0,False,0.15,2,0,0,47,3,9,1.5,1.0,,2022-12-28T00:00:07.973777Z,0.26,182,5.2,-2,0,36198,119.0,195.2,759,21,0.87,12,12.6,3588,-1,1.07,2.16,100.0,3.0,116,1.30,30,84,0,183,1.5,0,9,161,1,100.0,9,6661777,0.1,97,1.16,31,0.0,84,James,1,1,2,1.07,167,49.8,0.12,276,4.0,,46,3830792,a,0,31,182.6,9.76,0.2,220
147,Edouard Mendy,48,GKP,Chelsea,0,0,0.0,False,0.0,2,0,0,24,1,8,0.0,,Hand injury - Unknown return date,2022-12-30T15:00:07.563757Z,0.0,320,4.8,-2,1,41,0.0,0.0,765,72,0.00,11,6.3,3940,0,1.41,0.00,0.0,2.6,714,0.00,23,22,25,705,0.0,0,11,196,1,0.0,12,2186796,0.0,77,1.48,68,2.94,295,Mendy,0,0,0,0.94,127,20.2,0.12,679,,,22,691303,i,0,52,200.4,12.61,0.0,210
148,Conor Gallagher,57,MID,Chelsea,1,2,2.0,False,0.14,3,1,0,146,4,10,2.5,,,2022-10-19T22:30:07.006380Z,0.24,129,6.0,-3,0,408,162.0,260.6,834,60,0.92,84,0.5,534,0,0.86,2.26,100.0,1.7,76,1.33,34,89,0,149,2.5,0,49,347,4,100.0,8,193880,0.1,74,1.66,95,0.0,93,Gallagher,1,0,1,1.08,162,62.9,0.43,176,2.0,,83,71194,a,0,258,207.4,15.36,0.4,204
150,Armando Broja,53,FWD,Chelsea,1,0,0.0,False,0.02,2,0,0,43,0,2,0.0,,Knee injury - Expected back 01 Jul,2022-12-20T01:00:07.171085Z,0.28,324,4.0,-2,0,27,113.0,18.2,285,55,0.84,47,0.4,282,0,1.58,0.89,0.0,1.8,381,0.06,21,38,0,192,0.0,0,52,330,1,0.0,5,180460,0.27,82,1.42,46,0.0,163,Broja,1,0,0,0.63,56,19.7,0.32,719,,,47,74567,i,0,286,64.6,4.49,0.0,344
151,Ethan Ampadu,44,DEF,Chelsea,0,0,0.0,False,0.0,1,0,0,238,0,0,0.0,,Season-long loan to Spezia,2022-09-02T10:48:44.805594Z,0.0,626,0.0,-1,0,0,0.0,0.0,0,237,0.00,200,0.0,8,0,0.0,0.00,0.0,0.0,616,0.00,0,238,0,592,0.0,0,113,633,0,0.0,0,8063,0.0,221,0.0,235,0.0,496,Ampadu,0,0,0,0.0,0,0.0,0.0,551,,,238,1467,u,0,543,0.0,0.00,0.0,621
272,Wesley Fofana,43,DEF,Chelsea,0,0,0.0,False,0.02,2,0,0,169,1,4,0.1,,,2023-02-02T16:00:09.111198Z,0.05,377,0.9,-2,0,41,26.0,13.8,360,136,0.13,74,0.7,361,0,2.0,0.21,100.0,1.0,394,0.07,4,137,0,352,0.5,0,159,452,0,25.0,8,421227,0.03,214,1.32,126,0.0,577,W.Fofana,0,0,0,1.0,47,10.9,0.0,532,,,136,311007,a,0,204,67.4,5.27,0.0,337
304,Raheem Sterling,97,MID,Chelsea,4,6,0.3,False,0.17,3,0,0,35,3,14,0.4,,Knock - 50% chance of playing,2023-02-10T15:00:09.148220Z,0.44,60,6.4,-3,1,66,410.0,316.6,1141,43,3.46,27,3.4,3114,0,1.1,5.56,50.0,3.9,53,2.10,62,70,0,42,0.4,0,5,74,4,50.0,14,1736284,0.27,172,1.28,25,0.0,8,Sterling,2,0,0,1.1,146,97.4,0.32,373,6.0,,42,1347927,d,0,89,247.6,16.18,0.0,167
520,Kalidou Koulibaly,55,DEF,Chelsea,2,4,0.0,False,0.03,0,1,0,26,3,12,0.5,,,2022-10-23T00:00:07.587931Z,0.09,184,8.7,0,0,950,129.0,73.7,1114,69,0.74,21,6.1,9086,0,1.05,1.09,100.0,3.4,240,0.33,48,46,0,176,0.5,0,13,114,4,100.0,13,1550826,0.06,250,1.19,29,0.0,109,Koulibaly,0,0,0,0.97,233,48.7,0.32,726,,,48,972113,a,0,56,282.8,14.72,0.0,139
606,Harvey Vale,45,MID,Chelsea,0,0,0.0,False,0.0,0,0,0,286,0,0,0.0,,Season-long loan to Hull City,2022-09-02T11:12:46.298693Z,0.0,686,0.0,0,0,0,0.0,0.0,0,282,0.00,311,0.0,0,0,0.0,0.00,0.0,0.0,680,0.00,0,279,0,663,0.0,0,237,692,0,0.0,0,271,0.0,245,0.0,273,0.0,432,Vale,0,0,0,0.0,0,0.0,0.0,629,,,281,241,u,0,729,0.0,0.00,0.0,683
616,Denis Zakaria,49,MID,Chelsea,0,0,0.0,False,0.01,1,0,0,106,0,4,0.1,,,2023-01-12T23:30:07.854486Z,0.07,423,1.8,-1,0,8,24.0,9.7,286,204,0.19,215,0.0,65,0,0.63,0.23,100.0,2.2,415,0.04,9,183,0,359,0.5,0,151,259,2,25.0,2,8231,0.06,290,1.12,174,0.0,255,Zakaria,0,0,0,1.26,36,5.8,0.63,691,,,190,8976,a,0,545,23.6,3.56,0.0,414
617,Pierre-Emerick Aubameyang,84,FWD,Chelsea,1,3,0.3,False,0.03,6,0,0,42,1,4,0.8,,,2022-09-02T14:30:07.224831Z,0.18,316,2.5,-6,0,190,119.0,42.6,426,46,0.71,37,0.7,1391,0,0.85,0.86,100.0,1.9,301,0.15,21,45,0,184,0.8,0,7,318,1,100.0,4,542026,0.15,52,1.54,43,0.0,12,Aubameyang,0,0,0,0.85,55,21.0,0.21,371,,,44,572984,a,0,206,52.6,7.27,0.0,360
635,Marcus Bettinelli,40,GKP,Chelsea,0,0,0.0,False,0.0,0,0,0,52,0,0,0.5,,,,0.0,550,0.0,0,0,38,0.0,0.0,0,38,0.00,62,0.0,46,0,0.0,0.00,,0.0,537,0.00,0,52,0,489,0.5,0,40,562,0,,0,2609,0.0,47,0.0,28,0.0,643,Bettinelli,0,0,0,0.0,0,0.0,0.0,433,,,52,3792,a,0,580,0.0,0.00,0.0,548
653,Omari Hutchinson,43,MID,Chelsea,0,0,0.0,False,0.08,2,0,0,197,0,0,0.5,,,,0.08,485,0.2,-2,0,15,4.0,1.8,22,217,0.00,280,0.0,19,0,0.0,0.02,,1.0,443,0.02,1,230,0,425,0.5,0,307,455,0,,0,1007,0.0,195,2.58,207,0.0,585,Hutchinson,0,0,0,0.0,2,0.7,0.0,537,,,223,1216,a,0,685,1.0,0.63,0.0,499
661,Lewis Hall,44,MID,Chelsea,0,0,0.3,False,0.07,1,0,0,148,1,4,0.8,,,,0.2,347,1.8,-1,0,33,56.0,59.2,303,145,0.42,254,0.0,93,0,0.89,0.66,,1.6,262,0.23,8,153,0,267,0.8,0,285,353,1,,3,2668,0.12,150,1.13,140,0.0,529,Hall,0,0,0,1.19,29,16.5,0.3,341,,,152,3870,a,0,627,49.4,3.81,0.1,365
673,Bashir Humphreys,45,DEF,Chelsea,0,0,0.0,False,0.0,0,0,0,247,0,0,0.0,,Season-long loan to SC Paderborn,2023-01-29T17:39:15.472023Z,0.0,672,0.0,0,0,0,0.0,0.0,0,247,0.00,245,0.0,17,0,0.0,0.00,0.0,0.0,667,0.00,0,247,0,648,0.0,0,90,678,0,0.0,0,358,0.0,235,0.0,246,0.0,412,Humphreys,0,0,0,0.0,0,0.0,0.0,611,,,247,345,u,0,696,0.0,0.00,0.0,669
684,David Datro Fofana,50,FWD,Chelsea,0,0,0.3,False,0.0,0,0,0,65,0,0,0.8,,,,3.18,468,0.2,0,0,342,11.0,0.3,15,64,0.53,66,0.1,797,0,0.0,0.53,,1.0,479,0.00,1,61,0,393,0.8,0,61,493,0,,0,6352,3.18,45,0.6,59,0.0,231,D.D.Fofana,0,0,0,0.0,2,1.4,0.0,359,,,62,12555,a,0,468,2.2,0.10,0.1,486
689,Benoît Badiashile,50,DEF,Chelsea,0,2,4.3,False,0.02,0,0,0,2,1,4,4.8,,,,0.18,345,4.2,0,0,9311,48.0,25.0,360,124,0.63,69,0.9,3257,0,0.25,0.70,,5.2,358,0.07,21,122,0,285,4.8,0,29,15,3,,1,16735,0.16,17,0.98,87,0.0,218,Badiashile,0,0,1,1.0,91,16.7,0.75,48,,,122,110269,a,0,187,93.2,3.94,0.9,305
690,João Félix Sequeira,75,FWD,Chelsea,1,3,3.0,False,0.29,0,1,0,17,0,2,3.5,,,2023-01-12T23:30:07.889355Z,1.17,371,0.9,0,0,104091,33.0,35.8,147,49,1.43,23,1.7,1572,0,1.84,1.91,100.0,3.5,322,0.47,7,47,0,331,3.5,0,15,109,0,100.0,3,32146,0.88,12,1.56,57,0.0,28,João Félix,0,0,9,1.22,27,11.9,0.0,101,,,53,212257,a,0,139,50.6,2.55,0.4,363
